,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.23,1.94,2.31,3.26,8.17,11.38,13.56,6.43,11.74,23.47,8.349
identified_templates,11.0,344.0,31.0,79.0,667.0,259.0,45.0,148.0,88.0,38.0,171.0
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.861,0.997,0.963,0.865,0.891,0.95,0.996,0.807,0.691,0.902
PA,0.994,0.734,0.994,0.818,0.548,0.676,0.417,0.971,0.933,0.633,0.772
FGA,1.0,0.927,0.933,0.845,0.874,0.844,0.946,0.914,0.802,0.921,0.901
PTA,0.909,0.73,0.774,0.747,0.529,0.525,0.733,0.784,0.739,0.868,0.734
RTA,0.909,0.743,0.828,0.663,0.564,0.576,0.688,0.744,0.878,0.868,0.746
FTA,0.909,0.736,0.8,0.702,0.546,0.549,0.71,0.763,0.802,0.868,0.738
