,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.21,1.89,2.22,3.22,7.99,11.19,13.49,6.37,11.71,23.22,8.251
identified_templates,11.0,335.0,29.0,76.0,658.0,248.0,45.0,148.0,80.0,38.0,166.8
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.867,1.0,0.97,0.871,0.908,0.95,0.996,0.866,0.691,0.912
PA,0.994,0.731,0.994,0.825,0.553,0.693,0.417,0.971,0.99,0.633,0.78
FGA,1.0,0.921,1.0,0.873,0.883,0.88,0.946,0.914,0.896,0.921,0.923
PTA,0.909,0.725,0.828,0.789,0.538,0.56,0.733,0.784,0.85,0.868,0.758
RTA,0.909,0.719,0.828,0.674,0.565,0.589,0.688,0.744,0.919,0.868,0.75
FTA,0.909,0.722,0.828,0.727,0.551,0.574,0.71,0.763,0.883,0.868,0.754
