,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.26,1.99,2.32,3.25,8.29,11.79,13.83,6.72,11.81,23.99,8.525
identified_templates,11.0,357.0,35.0,88.0,703.0,267.0,48.0,162.0,88.0,38.0,179.7
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.813,0.993,0.964,0.869,0.862,1.0,0.997,0.807,0.691,0.9
PA,0.994,0.711,0.991,0.818,0.551,0.676,0.466,0.971,0.933,0.633,0.774
FGA,1.0,0.901,0.844,0.836,0.861,0.815,1.0,0.931,0.802,0.921,0.891
PTA,0.909,0.7,0.657,0.705,0.506,0.506,0.771,0.741,0.739,0.868,0.71
RTA,0.909,0.74,0.793,0.697,0.569,0.572,0.771,0.769,0.878,0.868,0.757
FTA,0.909,0.719,0.719,0.701,0.536,0.537,0.771,0.755,0.802,0.868,0.732
