,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.11,1.72,2.08,2.99,7.91,9.82,12.46,5.97,10.49,22.63,7.718
identified_templates,11.0,343.0,31.0,76.0,661.0,252.0,45.0,148.0,88.0,38.0,169.3
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.981,0.997,0.96,0.869,0.892,0.95,0.996,0.807,0.691,0.914
PA,0.994,0.734,0.994,0.816,0.553,0.686,0.417,0.971,0.933,0.633,0.773
FGA,1.0,0.931,0.933,0.776,0.881,0.865,0.946,0.914,0.802,0.921,0.897
PTA,0.909,0.732,0.774,0.724,0.536,0.552,0.733,0.784,0.739,0.868,0.735
RTA,0.909,0.743,0.828,0.618,0.565,0.589,0.688,0.744,0.878,0.868,0.743
FTA,0.909,0.737,0.8,0.667,0.55,0.57,0.71,0.763,0.802,0.868,0.738
