,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.16,1.69,2.07,3.0,8.14,10.35,12.45,5.9,10.43,22.22,7.741
identified_templates,11.0,356.0,35.0,83.0,697.0,268.0,48.0,159.0,95.0,38.0,179.0
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.813,0.993,0.96,0.858,0.835,1.0,0.996,0.807,0.691,0.895
PA,0.994,0.711,0.991,0.816,0.551,0.675,0.466,0.971,0.933,0.633,0.774
FGA,1.0,0.902,0.844,0.779,0.86,0.813,1.0,0.927,0.769,0.921,0.882
PTA,0.909,0.702,0.657,0.699,0.509,0.504,0.771,0.755,0.684,0.868,0.706
RTA,0.909,0.74,0.793,0.652,0.567,0.572,0.771,0.769,0.878,0.868,0.752
FTA,0.909,0.72,0.719,0.674,0.537,0.536,0.771,0.762,0.769,0.868,0.726
