,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.35,2.06,2.13,3.01,8.07,10.29,12.46,5.92,10.44,22.26,7.799
identified_templates,11.0,348.0,35.0,78.0,673.0,259.0,48.0,151.0,88.0,38.0,172.9
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.859,0.993,0.96,0.867,0.842,1.0,0.996,0.807,0.691,0.902
PA,0.994,0.732,0.991,0.816,0.55,0.682,0.466,0.971,0.933,0.633,0.777
FGA,1.0,0.918,0.844,0.814,0.875,0.84,1.0,0.925,0.802,0.921,0.894
PTA,0.909,0.718,0.657,0.756,0.526,0.533,0.771,0.768,0.739,0.868,0.724
RTA,0.909,0.74,0.793,0.663,0.565,0.585,0.771,0.744,0.878,0.868,0.752
FTA,0.909,0.729,0.719,0.707,0.545,0.558,0.771,0.756,0.802,0.868,0.736
