,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.28,1.93,2.4,3.26,8.17,11.57,13.78,6.54,11.71,23.98,8.462
identified_templates,11.0,349.0,35.0,81.0,683.0,261.0,48.0,151.0,88.0,38.0,174.5
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.859,0.993,0.964,0.868,0.862,1.0,0.996,0.807,0.691,0.904
PA,0.994,0.732,0.991,0.818,0.55,0.676,0.466,0.971,0.933,0.633,0.776
FGA,1.0,0.917,0.844,0.882,0.871,0.833,1.0,0.925,0.802,0.921,0.9
PTA,0.909,0.716,0.657,0.778,0.52,0.521,0.771,0.768,0.739,0.868,0.725
RTA,0.909,0.74,0.793,0.708,0.567,0.576,0.771,0.744,0.878,0.868,0.755
FTA,0.909,0.728,0.719,0.741,0.542,0.547,0.771,0.756,0.802,0.868,0.738
