,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,12.0,29.0,40.0,47.0,48.0,95.0,76.0,157.0,247.0,255.0,347.0,365.0,660.0,1359.0,266.929
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,0.989,1.0,0.78,1.0,1.0,0.864,0.993,1.0,0.941,0.974,0.957,0.831,0.882,0.867,0.934
PA,1.0,0.998,0.722,1.0,0.952,0.99,0.851,0.963,0.84,0.996,0.968,0.741,0.605,0.639,0.876
FGA,0.87,1.0,0.923,0.968,1.0,0.828,0.885,0.971,0.928,0.88,0.885,0.862,0.869,0.878,0.911
PTA,0.917,0.862,0.9,0.957,0.875,0.726,0.868,0.847,0.672,0.631,0.775,0.693,0.536,0.567,0.773
RTA,1.0,0.862,0.947,0.978,0.875,0.932,0.742,0.853,0.703,0.682,0.841,0.749,0.565,0.621,0.811
FTA,0.957,0.862,0.923,0.968,0.875,0.817,0.8,0.85,0.687,0.656,0.807,0.72,0.551,0.593,0.79
