Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,Average
identified_templates,16.0,320.0,29.0,76.0,234.0,141.0,45.0,75.0,648.0,34.0,249.0,1193.0,283.0,241.8
ground_templates,8.0,271.0,29.0,77.0,233.0,142.0,48.0,73.0,616.0,38.0,234.0,1147.0,296.0,232.7
GA,0.51,0.967,1.0,1.0,0.964,0.992,0.811,0.967,0.814,0.868,0.859,0.874,0.907,0.895
PA,0.897,0.846,0.993,0.85,0.865,0.838,0.831,0.846,0.651,0.496,0.889,0.689,0.929,0.83
FGA,0.5,0.809,1.0,0.98,0.946,0.975,0.667,0.838,0.824,0.806,0.865,0.862,0.808,0.84
PTA,0.438,0.566,0.759,0.868,0.752,0.865,0.644,0.653,0.486,0.5,0.691,0.563,0.739,0.668
RTA,0.875,0.668,0.759,0.857,0.755,0.859,0.604,0.671,0.511,0.447,0.735,0.586,0.706,0.7
FTA,0.583,0.613,0.759,0.863,0.754,0.862,0.624,0.662,0.498,0.472,0.712,0.574,0.722,0.678
