,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.27,2.02,2.3,3.45,8.8,34.23,14.06,6.83,11.69,40.86,12.551
identified_templates,11.0,409.0,32.0,97.0,685.0,5357.0,48.0,474.0,80.0,75.0,726.8
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.845,0.997,0.969,0.861,0.737,1.0,0.995,0.866,0.722,0.899
PA,0.994,0.72,0.994,0.823,0.549,0.522,0.466,0.971,0.99,0.443,0.747
FGA,1.0,0.859,0.918,0.914,0.874,0.072,1.0,0.476,0.896,0.619,0.763
PTA,0.909,0.628,0.75,0.742,0.521,0.024,0.771,0.262,0.85,0.44,0.59
RTA,0.909,0.76,0.828,0.809,0.57,0.542,0.771,0.795,0.919,0.868,0.777
FTA,0.909,0.688,0.787,0.774,0.545,0.046,0.771,0.394,0.883,0.584,0.638
