,0,1,2,3,4,5,6,7,8,9,10
Dataset,Proxifier,Linux,Apache,Zookeeper,Mac,Hadoop,OpenStack,HealthApp,HPC,OpenSSH,Average
parse_time,1.13,1.64,2.1,2.86,7.66,16.12,12.49,5.89,10.11,20.69,8.069
identified_templates,11.0,335.0,29.0,92.0,666.0,2679.0,45.0,170.0,80.0,38.0,414.5
ground_templates,11.0,338.0,29.0,89.0,626.0,236.0,48.0,156.0,74.0,38.0,164.5
GA,1.0,0.867,1.0,0.968,0.866,0.843,0.95,0.997,0.866,0.691,0.905
PA,0.994,0.731,0.994,0.822,0.548,0.627,0.417,0.971,0.99,0.633,0.773
FGA,1.0,0.921,1.0,0.895,0.876,0.141,0.946,0.926,0.896,0.921,0.852
PTA,0.909,0.725,0.828,0.739,0.529,0.049,0.733,0.729,0.85,0.868,0.696
RTA,0.909,0.719,0.828,0.764,0.562,0.551,0.688,0.795,0.919,0.868,0.76
FTA,0.909,0.722,0.828,0.751,0.545,0.089,0.71,0.761,0.883,0.868,0.707
